roi_id,site_id,soil,mesquite,pixel_size
r-704,NORT,0.95,0.05,1
r-705,NORT,1,0,1
r-706,NORT,1,0,1
r-707,NORT,0.81,0.19,1
r-708,NORT,1,0,1
r-709,NORT,1,0,1
r-710,NORT,1,0,1
r-711,NORT,0.595,0.405,1
r-712,NORT,0,1,1
r-713,NORT,1,0,1
r-714,NORT,0,1,1
r-715,NORT,1,0,1
r-716,NORT,0.876,0.124,1
r-717,NORT,1,0,1
r-718,NORT,1,0,1
r-719,NORT,0,1,1
r-720,NORT,1,0,1
r-721,NORT,1,0,1
r-722,NORT,0,1,1
r-723,NORT,1,0,1
r-724,NORT,1,0,1
r-725,NORT,0.537,0.463,1
r-726,NORT,1,0,1
r-727,NORT,0,1,1
r-728,NORT,0.091,0.909,1
r-729,NORT,0.05,0.95,1
r-730,NORT,1,0,1
r-731,NORT,1,0,1
r-732,NORT,1,0,1
r-733,NORT,1,0,1
r-734,NORT,1,0,1
r-735,NORT,0,1,1
r-736,NORT,0,1,1
r-737,NORT,1,0,1
r-738,NORT,1,0,1
r-739,NORT,0,1,1
r-740,NORT,1,0,1
r-741,NORT,0.132,0.868,1
r-742,NORT,1,0,1
r-743,NORT,1,0,1
r-744,NORT,1,0,1
r-745,NORT,0,1,1
r-746,NORT,0,1,1
r-747,NORT,0.446,0.554,1
r-748,NORT,1,0,1
r-749,NORT,1,0,1
r-750,NORT,0.926,0.074,1
r-751,NORT,0.322,0.678,1
r-752,NORT,0.388,0.612,1
r-753,NORT,1,0,1
r-754,NORT,0,1,1
r-755,NORT,0,1,1
r-756,NORT,0.967,0.033,1
r-757,NORT,0,1,1
r-758,NORT,1,0,1
r-759,NORT,1,0,1
r-760,NORT,0.165,0.835,1
r-761,NORT,0,1,1
r-762,NORT,1,0,1
r-763,NORT,0.306,0.694,1
r-764,NORT,1,0,1
r-765,NORT,1,0,1
r-766,NORT,0.95,0.05,1
r-767,NORT,0.107,0.893,1
r-768,NORT,0.033,0.967,1
r-769,NORT,0.983,0.017,1
r-770,NORT,0.347,0.653,1
r-771,NORT,1,0,1
r-772,NORT,0.033,0.967,1
r-773,NORT,1,0,1
r-774,NORT,0.215,0.785,1
r-775,NORT,0,1,1
r-776,NORT,1,0,1
r-777,NORT,0.579,0.421,1
r-778,NORT,1,0,1
r-779,NORT,0.826,0.174,1
r-780,NORT,0.215,0.785,1
r-781,NORT,1,0,1
r-782,NORT,1,0,1
r-783,NORT,0,1,1
r-784,NORT,1,0,1
r-785,NORT,0,1,1
r-786,NORT,1,0,1
r-787,NORT,0,1,1
r-788,NORT,0.744,0.256,1
r-789,NORT,1,0,1
r-790,NORT,0.645,0.355,1
r-791,NORT,0,1,1
r-792,NORT,0.182,0.818,1
r-793,NORT,1,0,1
r-794,NORT,0,1,1
r-795,NORT,1,0,1
r-796,NORT,1,0,1
r-797,NORT,0.455,0.545,1
r-798,NORT,1,0,1
r-799,NORT,1,0,1
r-800,NORT,1,0,1
r-801,NORT,1,0,1
r-802,NORT,1,0,1
r-803,NORT,1,0,1
r-804,NORT,1,0,1
r-805,NORT,0.884,0.116,1
r-806,NORT,1,0,1
r-807,NORT,1,0,1
r-808,NORT,1,0,1
r-809,NORT,0,1,1
r-810,NORT,0,1,1
r-811,NORT,1,0,1
r-812,NORT,1,0,1
r-813,NORT,1,0,1
r-814,NORT,1,0,1
r-815,NORT,0.124,0.876,1
r-816,NORT,0.736,0.264,1
r-817,NORT,0.959,0.041,1
r-818,NORT,1,0,1
r-819,NORT,1,0,1
r-820,NORT,0,1,1
r-821,NORT,0,1,1
r-822,NORT,1,0,1
r-823,NORT,0.992,0.008,1
r-824,NORT,1,0,1
r-825,NORT,1,0,1
r-826,NORT,0.182,0.818,1
r-827,NORT,1,0,1
r-828,NORT,1,0,1
r-829,NORT,0.785,0.215,1
r-830,NORT,0.942,0.058,1
r-831,NORT,0.083,0.917,1
r-832,NORT,1,0,1
r-833,NORT,1,0,1
r-834,NORT,1,0,1
r-835,NORT,1,0,1
r-836,NORT,0.562,0.438,1
r-837,NORT,1,0,1
r-838,NORT,1,0,1
r-839,NORT,1,0,1
r-840,NORT,1,0,1
r-841,NORT,1,0,1
r-842,NORT,0.479,0.521,1
r-843,NORT,0,1,1
r-844,NORT,0.364,0.636,1
r-845,NORT,1,0,1
r-846,NORT,1,0,1
r-847,NORT,1,0,1
r-848,NORT,0,1,1
r-849,NORT,0.545,0.455,1
r-850,NORT,1,0,1
r-851,NORT,0.603,0.397,1
r-852,NORT,0,1,1
r-853,NORT,1,0,1
r-854,NORT,1,0,1
r-855,NORT,1,0,1
r-856,NORT,1,0,1
r-857,NORT,1,0,1
r-858,NORT,1,0,1
r-859,NORT,0,1,1
r-860,NORT,1,0,1
r-861,NORT,1,0,1
r-862,NORT,1,0,1
r-863,NORT,0.479,0.521,1
r-864,NORT,0,1,1
r-865,NORT,0.901,0.099,1
r-866,NORT,1,0,1
r-867,NORT,0,1,1
r-868,NORT,0,1,1
r-869,NORT,1,0,1
r-870,NORT,1,0,1
r-871,NORT,0,1,1
r-872,NORT,1,0,1
r-873,NORT,1,0,1
r-874,NORT,0.322,0.678,1
r-875,NORT,1,0,1
r-876,NORT,0,1,1
r-877,NORT,1,0,1
r-878,NORT,1,0,1
r-879,NORT,0.438,0.562,1
r-880,NORT,0.777,0.223,1
r-881,NORT,0,1,1
r-882,NORT,1,0,1
r-883,NORT,0.281,0.719,1
r-884,NORT,1,0,1
r-885,NORT,1,0,1
r-886,NORT,1,0,1
r-887,NORT,1,0,1
r-888,NORT,1,0,1
r-889,NORT,0.364,0.636,1
r-890,NORT,0,1,1
r-891,NORT,0.57,0.43,1
r-892,NORT,0.661,0.339,1
r-893,NORT,0.967,0.033,1
r-894,NORT,0.727,0.273,1
r-895,NORT,1,0,1
r-896,NORT,0,1,1
r-897,NORT,0.545,0.455,1
r-898,NORT,0,1,1
r-899,NORT,1,0,1
r-900,NORT,0.81,0.19,1
r-901,NORT,0.95,0.05,1
r-902,NORT,1,0,1
r-903,NORT,0,1,1
r-904,NORT,0,1,1
r-905,NORT,1,0,1
r-906,NORT,1,0,1
r-907,NORT,0.926,0.074,1
r-908,NORT,0.959,0.041,1
r-909,NORT,0,1,1
r-910,NORT,1,0,1
r-911,NORT,0,1,1
r-912,NORT,1,0,1
r-913,NORT,1,0,1
r-914,NORT,1,0,1
r-915,NORT,1,0,1
r-916,NORT,1,0,1
r-917,NORT,0.736,0.264,1
r-918,NORT,1,0,1
r-919,NORT,0.992,0.008,1
r-920,NORT,0,1,1
r-921,NORT,1,0,1
r-922,NORT,1,0,1
r-923,NORT,1,0,1
r-924,NORT,1,0,1
r-925,NORT,1,0,1
r-926,NORT,0.306,0.694,1
