scale,site_id,plant,roi_id,roi_type,primary_roi_id,ndvi,date
1,P9,grass,10-1-4,subset,10,0.14527514576911926,2019-04-18
2,P9,grass,10-2-1,subset,10,0.14543727040290833,2019-04-18
2,P9,grass,10-2-2,subset,10,0.14884479343891144,2019-04-18
2,P9,grass,10-2-3,subset,10,0.14516939222812653,2019-04-18
0.5,P9,grass,11-0.5-1,subset,11,0.10073747485876083,2019-04-18
0.5,P9,grass,11-0.5-2,subset,11,0.08724310249090195,2019-04-18
0.5,P9,grass,11-0.5-3,subset,11,0.11403709650039673,2019-04-18
0.5,P9,grass,11-0.5-4,subset,11,0.09460859000682831,2019-04-18
0.5,P9,grass,11-0.5-5,subset,11,0.10109323263168335,2019-04-18
0.5,P9,grass,11-0.5-6,subset,11,0.11295542120933533,2019-04-18
0.5,P9,grass,11-0.5-7,subset,11,0.10793102532625198,2019-04-18
0.5,P9,grass,11-0.5-8,subset,11,0.1298038512468338,2019-04-18
1,P9,grass,11-1-1,subset,11,0.10590752214193344,2019-04-18
1,P9,grass,11-1-2,subset,11,0.09817297756671906,2019-04-18
1,P9,grass,11-1-3,subset,11,0.11442789435386658,2019-04-18
1,P9,grass,11-1-4,subset,11,0.10770770162343979,2019-04-18
2,P9,grass,11-2-1,subset,11,0.10799045860767365,2019-04-18
2,P9,grass,11-2-2,subset,11,0.10611063987016678,2019-04-18
2,P9,grass,11-2-3,subset,11,0.10766961425542831,2019-04-18
0.5,P9,grass,12-0.5-1,subset,12,0.1289147436618805,2019-04-18
0.5,P9,grass,12-0.5-2,subset,12,0.10494054108858109,2019-04-18
0.5,P9,grass,12-0.5-3,subset,12,0.10073528438806534,2019-04-18
0.5,P9,grass,12-0.5-4,subset,12,0.16045111417770386,2019-04-18
0.5,P9,grass,12-0.5-5,subset,12,0.12065654993057251,2019-04-18
0.5,P9,grass,12-0.5-6,subset,12,0.1569189727306366,2019-04-18
0.5,P9,grass,12-0.5-7,subset,12,0.14555862545967102,2019-04-18
0.5,P9,grass,12-0.5-8,subset,12,0.1000225618481636,2019-04-18
1,P9,grass,12-1-1,subset,12,0.12838582694530487,2019-04-18
1,P9,grass,12-1-2,subset,12,0.12153003364801407,2019-04-18
1,P9,grass,12-1-3,subset,12,0.12903621792793274,2019-04-18
1,P9,grass,12-1-4,subset,12,0.15817950665950775,2019-04-18
2,P9,grass,12-2-1,subset,12,0.1414700597524643,2019-04-18
2,P9,grass,12-2-2,subset,12,0.12059532850980759,2019-04-18
2,P9,grass,12-2-3,subset,12,0.13314570486545563,2019-04-18
0.5,P9,grass,13-0.5-1,subset,13,0.11680107563734055,2019-04-18
0.5,P9,grass,13-0.5-2,subset,13,0.14865468442440033,2019-04-18
0.5,P9,grass,13-0.5-3,subset,13,0.18467378616333008,2019-04-18
0.5,P9,grass,13-0.5-4,subset,13,0.1382276862859726,2019-04-18
0.5,P9,grass,13-0.5-5,subset,13,0.1701681911945343,2019-04-18
0.5,P9,grass,13-0.5-6,subset,13,0.14143888652324677,2019-04-18
0.5,P9,grass,13-0.5-7,subset,13,0.13786680996418,2019-04-18
0.5,P9,grass,13-0.5-8,subset,13,0.16624726355075836,2019-04-18
1,P9,grass,13-1-1,subset,13,0.14123539626598358,2019-04-18
1,P9,grass,13-1-2,subset,13,0.16064555943012238,2019-04-18
1,P9,grass,13-1-3,subset,13,0.12897638976573944,2019-04-18
1,P9,grass,13-1-4,subset,13,0.18102514743804932,2019-04-18
2,P9,grass,13-2-1,subset,13,0.14191925525665283,2019-04-18
2,P9,grass,13-2-2,subset,13,0.12831619381904602,2019-04-18
2,P9,grass,13-2-3,subset,13,0.15880125761032104,2019-04-18
0.5,P9,grass,14-0.5-1,subset,14,0.1661446988582611,2019-04-18
0.5,P9,grass,14-0.5-2,subset,14,0.1568165421485901,2019-04-18
0.5,P9,grass,14-0.5-3,subset,14,0.15487533807754517,2019-04-18
0.5,P9,grass,14-0.5-4,subset,14,0.14878356456756592,2019-04-18
0.5,P9,grass,14-0.5-5,subset,14,0.15538106858730316,2019-04-18
0.5,P9,grass,14-0.5-6,subset,14,0.1505182981491089,2019-04-18
0.5,P9,grass,14-0.5-7,subset,14,0.14760170876979828,2019-04-18
0.5,P9,grass,14-0.5-8,subset,14,0.16459205746650696,2019-04-18
1,P9,grass,14-1-1,subset,14,0.15754911303520203,2019-04-18
1,P9,grass,14-1-2,subset,14,0.15355053544044495,2019-04-18
1,P9,grass,14-1-3,subset,14,0.155935600399971,2019-04-18
